"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","일반창고동수","일반창고면적","냉동냉장창고동수","냉동냉장창고면적","보관장소면적","종업원수","시설/장비현황","보관요율","법인여부명","업태보관및창고업","업태운송및택배업","업태판매업","업태제조업",
"1","물류창고업체","11_45_02_P","6260000","2019S62600000001","20190607","","01","영업/정상","1","등록","","","","","0516325449","","46747","부산광역시 강서구 미음동 232-6","부산광역시 강서구 미음국제2로 35 (미음동)","46747","(주)에이스유니폼","20210413112252","U","2021-04-15 02:40:00.0","","","","3","8638.9","0","0","0","17","지게차, 파워롤러컨베어, 화물승강기","","개인","1","","","",
"2","물류창고업체","11_45_02_P","6260000","2019S62600000002","20190821","","01","영업/정상","1","등록","","","","","0517111901","","46749","부산광역시 강서구 지사동 1393-5","부산광역시 강서구 과학산단로333번길 77-69 (지사동)","46749","(주)대성상사지엘에스","20200902152844","U","2020-09-04 02:40:00.0","","","","1","2565.05","0","0","0","7","지게차 3대, 화물엘레베이터 2대, 일반엘레베이터 1대 등","","개인","1","","","",
"3","물류창고업체","11_45_02_P","6260000","2012S62600000001","20120605","","01","영업/정상","1","등록","","","","","0514635411","","601838","부산광역시 동구 초량동 1188번지 1호","부산광역시 동구 중앙대로248번길 7-6 (초량동)","","씨제이대한통운(주)","20220428174221","U","2022-04-30 02:40:00.0","","386207.626981557","181890.323961778","1","1411.8","0","0","0","1","자가","","개인","","","","",
"4","물류창고업체","11_45_02_P","6260000","2012S62600000003","20120710","","01","영업/정상","1","등록","","","","","0516236887","","608829","부산광역시 남구 용당동 128번지 4호","부산광역시 남구 신선로356번길 9 (용당동)","","비엘로직스 (주)","20180222150707","I","2018-08-31 23:59:59.0","","391130.298566224","181927.519239665","1","2680.1","0","0","0","1","임차","","개인","1","1","","",
"5","물류창고업체","11_45_02_P","6260000","2012S62600000005","20120719","","01","영업/정상","1","등록","","","","","0516303611","","604866","부산광역시 사하구 구평동 427번지 30호","부산광역시 사하구 감천항로291번길 18 (구평동)","","동원로엑스(주)","20211230140616","U","2022-01-01 02:40:00.0","","381511.900980613","175991.019419","1","11123","0","0","21816","1","임차","","개인","1","","","",
"6","물류창고업체","11_45_02_P","6260000","2012S62600000006","20120719","","01","영업/정상","1","등록","","","","","0519143355","","48755","부산광역시 동구 좌천동 68-58 대양산업","부산광역시 동구 성남로 66, 대양산업 (좌천동)","48755","롯데글로벌로지스 (주)","20181210183024","U","2018-12-12 02:40:00.0","","387375.660847975","183216.302382238","1","2151.29","0","0","0","1","임차","","개인","1","","","",
"7","물류창고업체","11_45_02_P","6260000","2012S62600000007","20120727","","01","영업/정상","1","등록","","","","","0517117711","","602030","부산광역시 서구 암남동 723번지","부산광역시 서구 원양로 63 (암남동)","","(주)서부물산","20171116142029","I","2018-08-31 23:59:59.0","","383174.987768835","175469.439982525","1","2677","0","0","0","1","자가","","개인","1","","","",
"8","물류창고업체","11_45_02_P","6260000","2012S62600000008","20120730","","01","영업/정상","1","등록","","","","","0516451001","","46751","부산광역시 강서구 송정동 1512-2 부산물류터미널(주)내화물창고 1동","부산광역시 강서구 녹산산업북로 119, 부산물류터미널(주)내화물창고 1동 (송정동)","46751","천일정기화물자동차(주)","20210628154550","U","2021-06-30 02:40:00.0","","367454.564232222","179343.014764116","1","1349","0","0","0","1","임차","","개인","1","","","",
"9","물류창고업체","11_45_02_P","6260000","2012S62600000012","20120731","","01","영업/정상","1","등록","","","","","0519907707","","604836","부산광역시 사하구 신평동 370번지 37호","부산광역시 사하구 을숙도대로 520 (신평동)","","씨제이대한통운(주)","20220413154300","U","2022-04-15 02:40:00.0","","378744.116114218","177858.768018818","1","5124","0","0","0","1","임차","","개인","","","","",
"10","물류창고업체","11_45_02_P","6260000","2012S62600000013","20120731","","01","영업/정상","1","등록","","","","","0516441401","","609360","부산광역시 금정구 노포동 829번지","부산광역시 금정구 노포사송로 27 (노포동)","","한국농수산식품유통공사","20210610171340","U","2021-06-12 02:40:00.0","","390172.423142493","200003.414252398","1","3306","0","0","0","1","임차","","개인","","","","",
