"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","비상시설위치","시설구분명","시설명건물명","해제일자",
"1","민방위급수시설","11_46_01_P","3250000","3250000-E199200001","19920314","","01","영업/정상","18","사용중","","","","","","112","","부산광역시 중구 보수동2가 75번지 28호","부산광역시 중구 보수대로124번길 45 (보수동2가)","600082","보수동28통내","20200728175052","U","2020-07-30 02:40:00.0","","384423.177191407","180319.365507809","부산광역시 중구 보수동2가 75번지 28호","자치단체자체시설","보수동28통내","",
"2","민방위급수시설","11_46_01_P","3250000","3250000-E199500003","19950412","","01","영업/정상","18","사용중","","","","","","270","","부산광역시 중구 보수동1가 95번지 3호","부산광역시 중구 흑교로 48 (보수동1가)","600802","중구방문건강관리센터","20200119152141","U","2020-01-21 02:40:00.0","","384598.620585225","180174.947710732","부산광역시 중구 보수동1가 95번지 3호","자치단체자체시설","중구방문건강관리센터","",
"3","민방위급수시설","11_46_01_P","3250000","3250000-E199800001","19980902","","01","영업/정상","18","사용중","","","","","","300","","부산광역시 중구 동광동5가 16번지 11호","부산광역시 중구 동광길93번길 5 (동광동5가)","600025","대동맨션내","20220513151319","U","2022-05-15 02:40:00.0","","385386.910670474","180576.24477204","부산광역시 중구 동광동5가 16번지 11호","정부지원시설","대동맨션내","",
"4","민방위급수시설","11_46_01_P","3250000","3250000-E200100003","20010411","","01","영업/정상","18","사용중","","","","","","80","","부산광역시 중구 부평동3가 62번지 13호","부산광역시 중구 흑교로17번길 7-1 (부평동3가)","600809","해림목욕탕","20211025171351","U","2021-10-27 02:40:00.0","","384506.317967696","179855.018384751","부산광역시 중구 부평동3가 62번지 13호","민간시설","해림목욕탕","",
"5","민방위급수시설","11_46_01_P","3250000","3250000-E199500001","19950322","","01","영업/정상","18","사용중","","","","","","120","","부산광역시 중구 보수동2가 64번지 1호","부산광역시 중구 보수대로124번길 24-2 (보수동2가)","600082","청소년문화의집","20200119152114","U","2020-01-21 02:40:00.0","","384343.646038637","180387.92541197","부산광역시 중구 보수동2가 64번지 1호","자치단체자체시설","청소년문화의집","",
"6","민방위급수시설","11_46_01_P","3250000","3250000-E199500002","19950322","","01","영업/정상","18","사용중","","","","","","300","","부산광역시 중구 부평동1가 30번지 27호","부산광역시 중구 중구로29번길 23 (부평동1가)","600804","부평동주민센터","20211025171331","U","2021-10-27 02:40:00.0","","384712.851243526","179798.592169711","부산광역시 중구 부평동1가 30번지 27호","자치단체자체시설","부평동주민센터","",
"7","민방위급수시설","11_46_01_P","3250000","3250000-E200100001","20010411","","01","영업/정상","18","사용중","","","","","","70","","부산광역시 중구 대청동1가 48번지","부산광역시 중구 용두산길 9 (대청동1가)","600091","천주교부산중앙성당","20220127172444","U","2022-01-29 02:40:00.0","","385208.188973955","180002.98117656","부산광역시 중구 대청동1가 48번지","민간시설","천주교부산중앙성당","",
"8","민방위급수시설","11_46_01_P","3250000","3250000-E200100002","20010411","","01","영업/정상","18","사용중","","","","","","50","","부산광역시 중구 보수동1가 41번지 1호","부산광역시 중구 법수길 72","600803","대림에이스타운","20200119152220","U","2020-01-21 02:40:00.0","","384593.376750584","180502.719901517","부산광역시 중구 보수동1가 41번지 1호","민간시설","대림에이스타운","",
"9","민방위급수시설","11_46_01_P","3250000","3250000-E197700001","19771231","","01","영업/정상","18","사용중","","","","","","30","","부산광역시 중구 영주동 582번지 2호","부산광역시 중구 대영로226번길 15 (봉래초등학교)","48922","봉래초등학교","20220512174738","U","2022-05-14 02:40:00.0","","385550.446053142","181051.042253247","부산광역시 중구 영주동 582번지 2호","정부지원시설","봉래초등학교","",
"10","민방위급수시설","11_46_01_P","3260000","3260000-E198000004","19801220","","01","영업/정상","18","사용중","","","","","","102","","부산광역시 서구 토성동4가 2번지 3호","부산광역시 서구 구덕로 120 (토성동4가, 서구청)","49247","서구청비상급수시설","20201119143125","U","2020-11-21 02:40:00.0","","384477.310172555","179485.36680469","부산광역시 서구 토성동4가 2번지 3호","정부지원시설","서구청비상급수시설","",
"11","민방위급수시설","11_46_01_P","3260000","3260000-E200200008","20020208","","01","영업/정상","18","사용중","","","","","","95","","부산광역시 서구 서대신동3가 147번지 2호","부산광역시 서구 꽃마을로 24 (서대신동3가, 다비다모자원 영락어린이집)","49203","다비다모자원","20201120154157","U","2020-11-22 02:40:00.0","","383446.105501817","181570.224479432","부산광역시 서구 서대신동3가 147번지 2호","정부지원시설","다비다모자원","",
"12","민방위급수시설","11_46_01_P","3260000","3260000-E198400002","19841130","","01","영업/정상","18","사용중","","","","","","40","","부산광역시 서구 동대신동3가 1번지 28호","부산광역시 서구 망양로111번길 65 (동대신동3가, 경남고등학교)","49201","경남고등학교","20201120143606","U","2020-11-22 02:40:00.0","","384145.499255248","182076.187073444","부산광역시 서구 동대신동3가 1번지 28호","정부지원시설","경남고등학교","",
"13","민방위급수시설","11_46_01_P","3260000","3260000-E199700002","19970218","","01","영업/정상","18","사용중","","","","","","100","","부산광역시 서구 토성동3가 12번지","부산광역시 서구 까치고개로229번길 7 (토성동3가, 경남중학교)","49224","경남중학교","20201120153851","U","2020-11-22 02:40:00.0","","384153.105863025","179800.175297163","부산광역시 서구 토성동3가 12번지","정부지원시설","경남중학교","",
"14","민방위급수시설","11_46_01_P","3260000","3260000-E199500006","19950501","","01","영업/정상","18","사용중","","","","","","100","","부산광역시 서구 동대신동3가 315번지","부산광역시 서구 대영로85번길 81-19 (동신초등학교)","49212","동신초등학교","20201120153802","U","2020-11-22 02:40:00.0","","383895.393554491","181314.580317609","부산광역시 서구 동대신동3가 315번지","자치단체자체시설","동신초등학교","",
"15","민방위급수시설","11_46_01_P","3260000","3260000-E198800004","19880620","","01","영업/정상","18","사용중","","","","","","421","","부산광역시 서구 동대신동3가 1번지 22호","부산광역시 서구 대신공원로 26 (동대신동3가, 동아대학교병원)","49201","동아대병원","20201120144242","U","2020-11-22 02:40:00.0","","383898.91114891","182014.846889314","부산광역시 서구 동대신동3가 1번지 22호","공공시설","동아대병원","",
"16","민방위급수시설","11_46_01_P","3260000","3260000-E201200002","20120903","","01","영업/정상","18","사용중","","","","","","80","","부산광역시 서구 서대신동3가 161번지 13호","부산광역시 서구 꽃마을로 43-0 (서대신동3가)","","남성한빛아파트","20201120154329","U","2020-11-22 02:40:00.0","","383259.412069714","181678.653570702","부산광역시 서구 서대신동3가 161번지 13호","민간시설","남성한빛아파트","",
"17","민방위급수시설","11_46_01_P","3260000","3260000-E201200003","20120903","","01","영업/정상","18","사용중","","","","","","90","","부산광역시 서구 서대신동3가 694번지 1호","부산광역시 서구 대티로 159-0 (서대신동3가)","","협성르네상스","20201120154408","U","2020-11-22 02:40:00.0","","383176.906835168","181175.027825949","부산광역시 서구 서대신동3가 694번지 1호","민간시설","협성르네상스","",
"18","민방위급수시설","11_46_01_P","3260000","3260000-E199700004","19970121","","01","영업/정상","18","사용중","","","","","","200","","부산광역시 서구 부용동2가 11번지","부산광역시 서구 고운들로 12 (부용동2가, 부민초등학교)","49233","부민초등학교","20201120153957","U","2020-11-22 02:40:00.0","","384059.136007074","180458.235372798","부산광역시 서구 부용동2가 11번지","공공시설","부민초등학교","",
"19","민방위급수시설","11_46_01_P","3260000","3260000-E199700005","19970121","","01","영업/정상","18","사용중","","","","","","400","","부산광역시 서구 부용동1가 66번지 1호","부산광역시 서구 보수대로 105-1 (부용동1가, 한웅레포츠)","49223","한웅레포츠","20201120154032","U","2020-11-22 02:40:00.0","","384193.465647996","180347.461227876","부산광역시 서구 부용동1가 66번지 1호","민간시설","한웅레포츠","",
"20","민방위급수시설","11_46_01_P","3260000","3260000-E199700007","19970121","","01","영업/정상","18","사용중","","","","","","80","","부산광역시 서구 부용동1가 65번지 1호","부산광역시 서구 보수대로 111 (부용동1가)","","동아빌딩","20201120154117","U","2020-11-22 02:40:00.0","","384208.078079032","180375.229852642","부산광역시 서구 부용동1가 65번지 1호","민간시설","동아빌딩","",
