"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","비상시설위치","시설구분명","시설명건물명","해제일자",
"1","민방위대피시설","11_46_02_P","3250000","3250000-S198600001","19860630","","01","영업/정상","18","사용중","","","","","","1205","","부산광역시 중구 중앙동4가 87번지 7호","부산광역시 중구 충장대로 11 (중앙동4가, 무역회관빌딩)","48939","부산무역회관","20210729124846","U","2021-07-31 02:40:00.0","","385722.4811351","180423.00816521","부산광역시 중구 중앙동4가 87번지 7호","공공시설","부산무역회관","",
"2","민방위대피시설","11_46_02_P","3250000","3250000-S198800002","19880501","","01","영업/정상","18","사용중","","","","","","2543","","부산광역시 중구 중앙동4가 26번지 3호","부산광역시 중구 중앙대로 지하 83 (중앙동4가)","600814","중앙동지하철역","20210729125847","U","2021-07-31 02:40:00.0","","385605.958426897","180306.181055381","부산광역시 중구 중앙동4가 26번지 3호","공공시설","중앙동지하철역","",
"3","민방위대피시설","11_46_02_P","3250000","3250000-S198800003","19880101","","01","영업/정상","18","사용중","","","","","","3666","","부산광역시 중구 중앙동6가 9번지 1호","부산광역시 중구 중앙대로 지하 17 (중앙동6가, 광복지하도상가)","48955","광복지하도상가","20220420141130","U","2022-04-22 02:40:00.0","","385670.69094284","179770.553768032","부산광역시 중구 중앙동6가 9번지 1호","공공시설","광복지하도상가","",
"4","민방위대피시설","11_46_02_P","3250000","3250000-S199400002","19940101","","01","영업/정상","18","사용중","","","","","","424","","부산광역시 중구 중앙동2가 15번지 1호","부산광역시 중구 중앙대로 49 (중앙동2가)","600012","국민은행 부산종합금융센터","20220420141007","U","2022-04-22 02:40:00.0","","385583.662471973","180014.756202785","부산광역시 중구 중앙동2가 15번지 1호","공공시설","국민은행 부산종합금융센터","",
"5","민방위대피시설","11_46_02_P","3250000","3250000-S199700008","19970101","","01","영업/정상","18","사용중","","","","","","660","","부산광역시 중구 중앙동4가 79번지 1호","부산광역시 중구 충장대로9번길 52 (중앙동4가)","600715","마린센터","20220420140928","U","2022-04-22 02:40:00.0","","385825.756707547","180869.292984843","부산광역시 중구 중앙동4가 79번지 1호","공공시설","마린센터","",
"6","민방위대피시설","11_46_02_P","3250000","3250000-S199400017","19940101","","01","영업/정상","18","사용중","","","","","","1547","","부산광역시 중구 보수동1가 산 3번지 41호 중앙도서관","부산광역시 중구 망양로193번길 146, 중앙도서관 (보수동1가)","48903","중앙도서관","20200119152811","U","2020-01-21 02:40:00.0","","384755.697865962","180679.54281741","부산광역시 중구 보수동1가 산 3번지 41호 중앙도서관","공공시설","중앙도서관","",
"7","민방위대피시설","11_46_02_P","3250000","3250000-S199800004","19980216","","01","영업/정상","18","사용중","","","","","","429","","부산광역시 중구 보수동1가 144번지 4호","부산광역시 중구 대청로 71 (보수동1가)","600803","동인빌딩","20200119152401","U","2020-01-21 02:40:00.0","","384805.684033619","180124.151745194","부산광역시 중구 보수동1가 144번지 4호","공공시설","동인빌딩","",
"8","민방위대피시설","11_46_02_P","3250000","3250000-S199700024","19970101","","01","영업/정상","18","사용중","","","","","","102","","부산광역시 중구 영주동 743번지 33호","부산광역시 중구 중구로 160 (영주동)","600811","힐사이드호텔","20220127080309","U","2022-01-29 02:40:00.0","","385551.395066226","180800.325266415","부산광역시 중구 영주동 743번지 33호","공공시설","힐사이드호텔","",
"9","민방위대피시설","11_46_02_P","3250000","3250000-S199700025","19970101","","01","영업/정상","18","사용중","","","","","","264","","부산광역시 중구 영주동 742번지 13호","부산광역시 중구 중구로 151 (영주동)","600811","코모도호텔","20220127080233","U","2022-01-29 02:40:00.0","","385475.543050054","180776.200989752","부산광역시 중구 영주동 742번지 13호","공공시설","코모도호텔","",
"10","민방위대피시설","11_46_02_P","3250000","3250000-S200100004","20010101","","01","영업/정상","18","사용중","","","","","","1592","","부산광역시 중구 대청동4가 95번지","부산광역시 중구 중구로 74 (대청동4가)","600801","광일공영주차장","20220620094356","U","2022-06-22 02:40:00.0","","385019.663595538","180172.819924649","부산광역시 중구 대청동4가 95번지","공공시설","광일공영주차장","",
