"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","민원종류명","자본금의 규모","예치기관명","공제계약명","공제계약기타명","보험","채무지급보증","사업자등록번호",
"1","상조업","11_47_01_P","6260000","20136260000051000002","20130816","","01","영업/정상","1","영업중","","","","","","","","","부산광역시 동구 중앙대로 270, 강남빌딩 11층 (초량동)","","(주)웰리빙라이프","20190904000000","U","2019-09-06 02:40:00.0","","386177.958994368","182089.626704726","","1500000000","국민은행","","","","0","",
"2","상조업","11_47_01_P","6260000","20106260000051000006","20101026","","01","영업/정상","1","영업중","","","","","0513052580","","","부산광역시 사상구 모라동  728번지 10호","부산광역시 사상구 모덕로 85, 현대자동차 3층(모라동)","","아가페라이프주식회사","20220414000000","U","2022-04-16 02:40:00.0","","380795.211180325","188728.083213449","","2000000000","부산은행","기타","한국상조공제조합","","","",
"3","상조업","11_47_01_P","6260000","20106260000051000013","20101227","","01","영업/정상","1","영업중","","","","","0518611472","","617050","부산광역시 사상구 감전동  129번지 10호","부산광역시 사상구 새벽시장로 57 (감전동)","","주식회사광명상조","20190115000000","U","2019-01-17 02:40:00.0","","380347.381522031","185823.53704669","","1500000000","우리은행","","","","","",
"4","상조업","11_47_01_P","6260000","20116260000051000013","20110318","","01","영업/정상","1","영업중","","","","","0516361004","","","부산광역시 동구 범일동  830번지 42호","부산광역시 동구 조방로 39, 썬오피스텔 1507호(범일동)","","(주)조흥","20220302000000","U","2022-03-04 02:40:00.0","","387727.932157079","184254.180458819","","300000000","우리은행","","","","","",
"5","상조업","11_47_01_P","6260000","20106260000051000001","20101005","","01","영업/정상","1","영업중","","","","","05115995766","","","부산광역시 연제구 연산동  711번지 2호","부산광역시 연제구 중앙대로1076번길 31, 2층(연산동)","","해피애플라이프(주)(변경전 : (주)해피상조)","20220414000000","U","2022-04-16 02:40:00.0","","389565.37712932","189093.086891404","","1500000000","","기타","상조보증공제조합","","","",
"6","상조업","11_47_01_P","6260000","20106260000051000003","20101015","","01","영업/정상","1","영업중","","","","","0514636250","","611080","부산광역시 연제구 연산동  703번지 7호","부산광역시 연제구 중앙대로 1066, 동천빌딩 (연산동)","","늘곁애라이프온(주)","20211229000000","U","2021-12-31 02:40:00.0","","389380.829120839","189077.938711395","","1500029950","부산은행","","","","","",
"7","상조업","11_47_01_P","6260000","20116260000051000008","20110304","","01","영업/정상","1","영업중","","","","","05115883971","","611080","부산광역시 연제구 연산동  703번지 15호","부산광역시 연제구 중앙대로 1074 (연산동)","","(주)새부산상조","20190904000000","U","2019-09-06 02:40:00.0","","389409.092773132","189143.057207862","","1501180000","","기타","상조보증공제조합","","","",
"8","상조업","11_47_01_P","6260000","20106260000051000005","20101026","","01","영업/정상","1","영업중","","","","","05116443651","","614720","부산광역시 부산진구 범천동  839번지 48호 누리엔빌딩","부산광역시 부산진구 자유평화로 11 (범천동)","","더리본 주식회사","20210813000000","U","2021-08-15 02:40:00.0","","387778.879751482","184455.754008589","","2000000000","","기타","한국상조공제조합","","","",
"9","상조업","11_47_01_P","6260000","20116260000051000014","20110318","","01","영업/정상","1","영업중","","","","","0518660046","","","부산광역시 부산진구 전포동  667번지 16호","부산광역시 부산진구 서전로 25, 이오스프라자 702호(전포동)","","효경라이프(주)","20220414000000","U","2022-04-16 02:40:00.0","","387863.716121828","186257.507509754","","1500000000","","기타","상조보증공제조합","","","",
"10","상조업","11_47_01_P","6260000","20156260000051000002","20150708","","01","영업/정상","1","영업중","","","","","05116440866","","","","부산광역시 부산진구 개금온정로 5, 지하1층 (개금동,성원상떼뷰)","","제이에이치라이프 주식회사","20210823000000","U","2021-08-25 02:40:00.0","","384430.630690869","185721.876196787","","1500000000","","기타","한국상조공제조합","","","",
"11","상조업","11_47_01_P","6260000","20116260000051000001","20110120","","03","폐업","3","폐업","20190121","","","","0514654771","","48972","부산광역시 중구 대청동4가  12번지 9호","부산광역시 중구 중구로 121 (대청동4가)","","주식회사 부산의사상조","20181221000000","U","2018-12-23 02:40:00.0","","385203.926916019","180571.713650198","","300000000","우리은행","","","","","",
