"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"1","승강기유지관리업체","11_48_01_P","6260000","626000000160","20190306","","01","영업/정상","1","인허가","","","","","0515329286","","48045","부산광역시 해운대구 반여동 1126-4 101호","부산광역시 해운대구 삼어로133번길 41-9, 101호 (반여동)","48045","우리엘리베이터(주)","20190306144749","I","2019-03-08 02:21:43.0","","392720.954819077","191992.557490708","유지관리","중저속엘리베이터,휠체어리프트","300000000","","700","1","","","","","9","","","","","본점","",
"2","승강기유지관리업체","11_48_01_P","6260000","626000000161","20190909","","01","영업/정상","1","인허가","","","","","0512463940","","48910","부산광역시 중구 영주동 60-34","부산광역시 중구 동영로 113-1 (영주동)","48910","(주)타워엘리베이터","20190909144830","I","2019-09-11 02:22:33.0","","385371.161800823","181167.670605242","유지관리","","300000000","","1,000","1","","","","","10","","","","","본점","",
"3","승강기유지관리업체","11_48_01_P","6260000","626000000165","20220221","","01","영업/정상","1","인허가","","","","","0515557750","","47736","부산광역시 동래구 명륜동 553-5 우성빌딩 0호","부산광역시 동래구 명륜로129번길 20, 우성빌딩 5층(명륜동)","47736","(주)효원엘리베이터","20220221154507","I","2022-02-23 00:22:37.0","","389460.804046159","191567.517047412","유지관리","","100000000","","1,000","1","","","","","7","","","","","본점","",
"4","승강기유지관리업체","11_48_01_P","6260000","626000000162","20200227","","01","영업/정상","1","인허가","","","","","0519742015","","46718","부산광역시 강서구 대저2동 2350번지","부산광역시 강서구 공항진입로 108, 국제선화물청사 218,219호 (대저2동)","46718","남부공항서비스(주)","20200227151839","I","2020-02-29 00:23:35.0","","","","유지관리","","1600000000","","700","1","","","","","7","","","","","본점","",
"5","승강기유지관리업체","11_48_01_P","6260000","626000000164","20211102","","01","영업/정상","1","인허가","","","","","0517599390","","","부산광역시 연제구 연산동 15-9 삼미빌딩","부산광역시 연제구 토곡로 40, 삼미빌딩 4층 401호(연산동)","47585","위드엘리베이터(주)","20211102121655","I","2021-11-04 00:22:45.0","","391510.723085093","189015.632741686","유지관리","","250000000","","800","1","","","","","","","","","","본점","",
"6","승강기유지관리업체","11_48_01_P","6260000","626000000137","20090519","","01","영업/정상","1","인허가","","","","","0518080119","","614881","부산광역시 부산진구 부전2동  384번지 28호 2층","부산광역시 부산진구 신천대로 161, 2층 (부전동)","614881","영재엘리베이터","20200423144926","U","2020-04-28 02:40:00.0","","386784.540526875","186043.130224416","유지관리","없음","100000000","159000000","800","1","0","","","","8","5","","1","","본점","",
"7","승강기유지관리업체","11_48_01_P","6260000","626000000138","20090810","","01","영업/정상","1","인허가","","","","","0513375114","","","부산광역시 북구 덕천동 531번지 1호","부산광역시 북구 금곡대로104번길 10 (덕천동)","46545","한국승강기블루(주)","20200403105722","U","2020-04-28 02:40:00.0","","382688.331568034","192923.088664186","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","100000000","","1,400","2","0","","","","14","","","","","본점","",
"8","승강기유지관리업체","11_48_01_P","6260000","626000000139","20100313","","01","영업/정상","1","인허가","","","","","0515538118","","","부산광역시 동래구 온천동 180번지 15호 용진시타델 301호","부산광역시 동래구 중앙대로1473번길 14-18, 3층 301호 (온천동,용진시타델)","47711","(주)성림이엘","20191127111855","U","2020-04-28 02:40:00.0","","389627.70864997","192985.6938081","유지관리","없음","200000000","","800","1","0","","","","8","","","","","본점","",
"9","승강기유지관리업체","11_48_01_P","6260000","626000000140","20101015","","01","영업/정상","1","인허가","","","","","0516224114","","608806","부산광역시 남구 대연3동  256번지 4호 미도빌딩 6층","부산광역시 남구 황령대로319번길 128, 6층 (대연동,미도빌딩)","608806","(주)삼성테크원","20191120164825","U","2020-04-28 02:40:00.0","","390507.150726189","185351.679574581","유지관리","중저속엘리베이터,휠체어리프트","200000000","","700","1","0","","","","7","","","","","본점","",
"10","승강기유지관리업체","11_48_01_P","6260000","626000000142","20110104","","01","영업/정상","1","인허가","","","","","0517049962","","612784","부산 해운대구 좌2동 1319번지 두산2차아파트관리동 1층","부산광역시 해운대구 대천로 225, 1층 (좌동,두산2차아파트관리동)","612784","(주)동부엘리베이터","20200320171309","U","2020-04-28 02:40:00.0","","398587.479565726","187669.741370129","유지관리","중저속엘리베이터,에스컬레이터,휠체어리프트","103000000","","1,500","2","0","","","","15","","","","","본점","",
