"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"1","승강기제조및수입업체","11_48_02_P","6260000","626000000024","20220415","","01","영업/정상","1","인허가","","","","","0515209000","","46329","부산광역시 금정구 금사동 7-1 동일고무벨트","부산광역시 금정구 공단동로55번길 28, 동일고무벨트(금사동)","46329","(주)디알비동일","20220415145636","I","2022-04-17 00:22:33.0","","392580.527944391","193593.348380989","제조수입","엘리베이터수입업,","9965000000","","","","","","","","","","","","","","",
"2","승강기제조및수입업체","11_48_02_P","6260000","626000000020","20191004","","01","영업/정상","1","인허가","","","","","0519722633","","46760","부산광역시 강서구 신호동 302-2 부산신호사랑으로부영5차","부산광역시 강서구 신호산단1로 101, 상가동 304호 (신호동, 부산신호사랑으로부영5차)","46760","좋은엘리베이터(주)","20200309165544","U","2020-04-28 02:40:00.0","","370927.882539772","177534.609162159","제조수입","엘리베이터수입업, 에스컬레이터일반제조업,","300000000","","","","","","","","11","","","","","","",
"3","승강기제조및수입업체","11_48_02_P","6260000","626000000021","20191004","","01","영업/정상","1","인허가","","","","","0519733357","","46706","부산광역시 강서구 강동동 35-82","부산광역시 강서구 낙동북로138번길 120-13 (강동동)","46706","(주)엘텍","20191004152301","I","2019-10-06 00:22:43.0","","376718.786500751","191858.324477061","제조수입","엘리베이터수입업,","200000000","","","","","","","","3","","","","","","",
"4","승강기제조및수입업체","11_48_02_P","6260000","626000000023","20220215","","01","영업/정상","1","인허가","","","","","0512031331","","49396","부산광역시 사하구 구평동 101-48","부산광역시 사하구 을숙도대로755번길 17(구평동)","49396","현서엘리베이터(주)","20220215172817","I","2022-02-17 00:22:55.0","","","","제조수입","엘리베이터일반제조업,","500000000","","","","","","","","5","","","","","","",
"5","승강기제조및수입업체","11_48_02_P","6260000","626000000016","20170216","","01","영업/정상","1","인허가","","","","","0513375114","","","부산광역시 북구 덕천동 531-1 승강기블루센터 덕천동","부산광역시 북구 금곡대로104번길 10, 승강기블루센터 덕천동 (덕천동)","46545","한국승강기블루(주)","20191206171448","U","2020-04-28 02:40:00.0","","382688.331568034","192923.088664186","제조수입","엘리베이터일반제조업, 에스컬레이터일반제조업, 휠체어리프트조립제조업,","500000000","","","","","1","1","","3","","","","","","",
"6","승강기제조및수입업체","11_48_02_P","6260000","626000000018","20170808","","01","영업/정상","1","인허가","","","","","","","","부산광역시 해운대구 반여동 897-3","부산광역시 해운대구 선수촌로 169-7, 2층 (반여동)","48032","(주)후지케이알엘리베이터","20190702100450","U","2020-04-28 02:40:00.0","","393246.30231141","191931.778376818","제조수입","엘리베이터일반제조업, 엘리베이터수입업, 에스컬레이터수입업,","400000000","","","","","1","1","","3","","","","","","",
"7","승강기제조및수입업체","11_48_02_P","6260000","626000000007","20130913","","01","영업/정상","1","인허가","","","","","0513134555","","617843","부산광역시 사상구 학장동  720번지 20호","부산광역시 사상구 새벽로63번길 16 (학장동)","617843","한성웰텍(주)","20191204162416","U","2020-04-28 02:40:00.0","","380377.186010389","184926.469351533","제조수입","엘리베이터일반제조업, 엘리베이터조립제조업, 엘리베이터수입업,","500000000","4398018752","","","","1","2","","7","","","","","","",
"8","승강기제조및수입업체","11_48_02_P","6260000","626000000009","20140326","","01","영업/정상","1","인허가","","","","","0518313328","","618819","부산광역시 강서구 송정동 1629번지","부산광역시 강서구 녹산산단335로 48 (송정동)","618819","(주)동남엘리베이터","20191022143417","U","2020-04-28 02:40:00.0","","369043.232589179","178697.699952055","제조수입","엘리베이터일반제조업, 에스컬레이터조립제조업, 휠체어리프트수입업,","600000000","","","","","1","1","","49","","","","","","",
"9","승강기제조및수입업체","11_48_02_P","6260000","626000000010","20140411","","01","영업/정상","1","인허가","","","","","0517615086","","","부산광역시 수영구 광안동 506번지 32호 이든바인하츠 301호","부산광역시 수영구 수영로 568, 301호 (광안동,이든바인하츠)","48298","한솔엘리베이터(주)","20190926124516","U","2020-04-28 02:40:00.0","","392481.688657887","186177.095455544","제조수입","","500000000","","","","","1","1","","3","","","","","","",
"10","승강기제조및수입업체","11_48_02_P","6260000","626000000012","20140724","","01","영업/정상","1","인허가","","","","","0513122533","","","부산광역시 강서구 강동동 29번지 242호","부산광역시 강서구 낙동북로102번가길 25 (강동동)","46706","(주) 우진엘리베이터","20191030152043","U","2020-04-28 02:40:00.0","","376490.186568915","192466.492822587","제조수입","","200000000","","","","","1","1","","3","","","","","","",
