"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"1","요양보호사교육기관","11_49_01_P","6260000","201062600000040045-20100706","20100706","","01","영업/정상","0","운영","","","","","0515235339","","","부산광역시 해운대구 재송동 1061-9","부산광역시 해운대구 재반로103번길 14, 2층(재송동)","","해운대요양보호사교육원","20220614102746","U","2022-06-16 02:40:00.0","","","","","","","",
"2","요양보호사교육기관","11_49_01_P","6260000","201062600000040071-20101011","20101011","","01","영업/정상","0","운영","","","","","0513331310","","","부산광역시 북구 덕천동 400-1 동강빌딩","부산광역시 북구 백양대로 1204, 동강빌딩 4층(덕천동)","","덕천요양보호사교육원","20220609091331","U","2022-06-11 02:40:00.0","","","","","","","",
"3","요양보호사교육기관","11_49_01_P","6260000","201562600000040004-20150713","20150713","","01","영업/정상","0","운영","","","","","","","","부산광역시 해운대구 반송동 298번지 1호 2층","부산광역시 해운대구 반송로892번길 8, 2층 (반송동)","","참사랑요양보호사교육원","20220601085318","U","2022-06-03 02:40:00.0","","395809.885957911","194510.188105903","","","","",
"4","요양보호사교육기관","11_49_01_P","6260000","201562600000040006-20151214","20151214","","01","영업/정상","0","운영","","","","","0519444050","","","부산광역시 기장군 기장읍 대라리 168-4 명광빌딩 201호","부산광역시 기장군 기장읍 대청로 42, 명광빌딩 2층","","소망요양보호사교육원","20220401163211","U","2022-04-03 02:40:00.0","","","","","","","",
"5","요양보호사교육기관","11_49_01_P","6260000","201062600000040007-20100604","20100604","","01","영업/정상","0","운영","","","","","0517513663","","","부산광역시 연제구 연산8동   383번지 23호 (2층)","부산광역시 연제구 안연로 1 (연산동,(2층))","","참빛 요양보호사교육원","20220322094437","U","2022-03-24 02:40:00.0","","391287.471122685","189657.605969895","","","","",
"6","요양보호사교육기관","11_49_01_P","6260000","201062600000040070-20101011","20101011","","01","영업/정상","0","운영","","","","","07082402465","","","부산광역시 북구 덕천동 352-8 청림빌딩6층","부산광역시 북구 낙동대로1781번길 1, 청림빌딩 6층 (덕천동)","","삼성실버 요양보호사교육원","20220531132925","U","2022-06-02 02:40:00.0","","","","","","","",
"7","요양보호사교육기관","11_49_01_P","6260000","201062600000040093-20101025","20101025","","01","영업/정상","0","운영","","","","","0512477255","","","부산광역시 중구 동광동4가   230번지 1호 502호","부산광역시 중구 구덕로 37, 6층 (남포동4가)","","성산 요양보호사교육원","20220513110827","U","2022-05-15 02:40:00.0","","","","","","","",
"8","요양보호사교육기관","11_49_01_P","6260000","201062600000040023-20100611","20100611","","01","영업/정상","0","운영","","","","","0516333323","","","부산광역시 부산진구 범천1동   870번지 1호 3층","부산광역시 부산진구 중앙대로 621 (범천동,3층)","","뉴중앙 요양보호사교육원","20220323163135","U","2022-03-25 02:40:00.0","","387558.514002486","185158.362348042","","","","",
"9","요양보호사교육기관","11_49_01_P","6260000","201662600000040001-20160127","20160127","","01","영업/정상","0","운영","","","","","07082702500","","","","부산광역시 동래구 충렬대로137번길 4, 6층 (온천동,상현빌딩)","","동래삼성실버요양보호사교육원","20220602144612","U","2022-06-04 02:40:00.0","","","","","","","",
"10","요양보호사교육기관","11_49_01_P","6260000","201662600000040002-20160127","20160127","","01","영업/정상","0","운영","","","","","0519132450","","","부산광역시 부산진구 범천동 849-19 도문빌딩","부산광역시 부산진구 범일로 190, 도문빌딩 7층(범천동)","","서면삼성실버요양보호사교육원","20220614103737","U","2022-06-16 02:40:00.0","","","","","","","",
