"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"1","장례지도사 교육기관","11_49_02_P","6260000","201262600000040006-20121203","20121203","","01","영업/정상","0","운영","","","","","0518070110","","","부산광역시 부산진구 부전1동  426번지 7호 신동아오피스텔 501호","부산광역시 부산진구 가야대로 749-1, 5층 501호 (부전동,신동아오피스텔)","26230","사단법인 삼보문화회 부설 동국장례지도사교육원","20121203175032","I","2018-08-31 23:59:59.0","","387052.317362645","186253.143814124","","","","",
"2","장례지도사 교육기관","11_49_02_P","6260000","201462600000040008-20140915","20140915","","01","영업/정상","0","운영","","","","","0519322313","","","부산광역시 남구 대연동 1740번지 12호 윌셔코리아빌딩 301호","부산광역시 남구 유엔로157번길 101, 3층 301호 (대연동,윌셔코리아빌딩)","26290","하늘오름협동조합 부설 부산장례지도사교육원","20140915165051","I","2018-08-31 23:59:59.0","","390699.1555916","183739.2001957","","","","",
"3","장례지도사 교육기관","11_49_02_P","6260000","201262600000040001-20120831","20120831","","01","영업/정상","0","운영","","","","","0515403602","","","부산광역시 해운대구 반송동 640번지 5호","부산광역시 해운대구 운봉길 60 (반송동)","26350","동부산대학교 부설 장례지도사교육원","20160114112218","I","2018-08-31 23:59:59.0","","395453.268865557","194745.991176114","","","","",
"4","장례지도사 교육기관","11_49_02_P","6260000","201262600000040004-20120904","20120904","","01","영업/정상","0","운영","","","","","0517245652","","","부산광역시 기장군 정관읍 매학리 751-2","부산광역시 기장군 정관읍 구연3로 17, A동 6층 2호","26710","동남장례지도사교육원","20210218171536","U","2021-02-20 02:40:00.0","","","","","","","",
"5","장례지도사 교육기관","11_49_02_P","6260000","202062600000040009-20200630","20200630","","01","영업/정상","0","운영","","","","","0516370054","","","부산광역시 부산진구 부암동 25-65","부산광역시 부산진구 새싹로114번길 34 (부암동)","26230","하늘누리협동조합 장례지도사교육원","20200630165325","I","2020-07-02 00:23:26.0","","386916.338275336","187312.161922093","","","","",
"6","장례지도사 교육기관","11_49_02_P","6260000","202062600000040010-20200710","20200710","","01","영업/정상","0","운영","","","","","0513307004","","","부산광역시 북구 구포동 870번지 부산과학기술대학교","부산광역시 북구 시랑로132번길 88, 부산과학기술대학교 (구포동)","26320","부산과학기술대학교 장례지도사교육원","20200710154519","I","2020-07-12 00:23:16.0","","382639.52914000000","190691.22042400000","","","","",
"7","장례지도사 교육기관","11_49_02_P","6260000","201462600000040007-20140613","20140613","","03","폐업","1","폐지","20200612","","","","0516370052","","","부산광역시 부산진구 범천동 858번지 64호 유성빌딩 6층","부산광역시 부산진구 황령대로 9, 6층 (범천동,유성빌딩)","26230","하늘누리협동조합 장례지도사교육원","20200615105108","U","2020-06-17 02:40:00.0","","387707.677456944","185138.712920561","","","","",
"8","장례지도사 교육기관","11_49_02_P","6260000","201262600000040002-20120831","20120831","","03","폐업","1","폐지","20150130","","","","0515100951","","","부산광역시 금정구 부곡동 9번지","부산광역시 금정구 오륜대로 57 (부곡동)","26410","부산가톨릭대학교 부설 장례지도사교육원","20160114112438","I","2018-08-31 23:59:59.0","","390879.420653146","195979.258127902","","","","",
"9","장례지도사 교육기관","11_49_02_P","6260000","201262600000040003-20120904","20120904","","03","폐업","1","폐지","20140109","","","","0515022552","","","부산광역시 동래구 온천동 1444번지 6호","부산광역시 동래구 충렬대로108번길 4 (온천동)","26260","부산장례지도사교육원","20130902160643","I","2018-08-31 23:59:59.0","","388649.545806744","191668.881450636","","","","",
"10","장례지도사 교육기관","11_49_02_P","6260000","201262600000040005-20120905","20120905","","03","폐업","1","폐지","20140612","","","","0516370446","","","부산광역시 부산진구 범천동 858번지 64호 유성빌딩 602호","부산광역시 부산진구 황령대로 9, 602호 (범천동,유성빌딩)","26230","시티장례지도사교육원","20140612133015","I","2018-08-31 23:59:59.0","","387707.677456944","185138.712920561","","","","",
