"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","법인구분명","구분명",
"1","무료직업소개소","11_50_01_P","3250000","2014325008314500003","20141203","","01","영업/정상","20","영업중","","","","","051 951 2805","","","부산광역시 중구 영주동 68-5 로얄플러스 빌라","부산광역시 중구 중앙공원로 107 (영주동, 로얄플러스 빌라)","48900","부산중구시니어클럽","20200630133200","U","2020-07-02 02:40:00.0","","384943.24973435","181343.498037911","법인","무료",
"2","무료직업소개소","11_50_01_P","3250000","2015325008314500002","20150204","","01","영업/정상","20","영업중","","","","","0514681988","","","","부산광역시 중구 대청로99번길 22 (대청동2가)","600092","대한노인회 부산중구지회","20220119100012","U","2022-01-21 02:40:00.0","","385188.26672500000","180579.83226600000","법인","무료",
"3","무료직업소개소","11_50_01_P","3250000","2017325008314500001","20170323","","01","영업/정상","20","영업중","","","","","051 465 2151","","","부산광역시 중구 중앙동4가 74번지 7호","부산광역시 중구 충장대로9번길 66, 3층 (중앙동4가, 한국선원센터)","48934","한국선원복지고용센터","20200408130648","U","2020-04-10 02:40:00.0","","385868.447858934","180991.89207114","법인","무료",
"4","무료직업소개소","11_50_01_P","3250000","2015325008314500003","20150313","","03","폐업","40","폐업","20160430","","","","0514681988","","","","부산광역시 대청로99번길 22","600092","대한노인회 부산서부 취업지원센터","20161021110941","I","2018-08-31 23:59:59.0","","385188.26672500000","180579.83226600000","법인","무료",
"5","무료직업소개소","11_50_01_P","3250000","2018325008314500002","20180129","","03","폐업","40","폐업","20190603","","","","051 441 1592","","","","부산광역시 중구 충장대로13번길 14, 국일빌딩 407호 (중앙동4가)","48935","사단법인 글로벌창업지원네트워크","20190603094558","U","2019-06-05 02:40:00.0","","385769.574832799","180512.545626241","법인","무료",
"6","무료직업소개소","11_50_01_P","3260000","2011326006214500001","20110211","","01","영업/정상","20","영업중","","","","","051 244 6700","","","부산광역시 서구 서대신동3가 산 3번지 2호","부산광역시 서구 구덕로345번길 24 (서대신동3가)","602825","사회복지법인 내원 부산서구시니어클럽","20210809103605","U","2021-08-11 02:40:00.0","","383559.028567214","181300.06476167","법인","무료",
"7","무료직업소개소","11_50_01_P","3270000","2022327013914500005","20220421","","01","영업/정상","20","영업중","","","","","0515550501","","","","부산광역시 동구 중앙대로196번길 12-3, 10층 (초량동)","48821","사단법인 부산광역시 장애인청년연합회","20220421173055","I","2022-04-23 00:22:33.0","","385975.003472523","181329.805166114","법인","무료",
"8","무료직업소개소","11_50_01_P","3270000","2022327013914500001","20220209","","01","영업/정상","20","영업중","","","","","","","","부산광역시 동구 초량동 1203-2","부산광역시 동구 중앙대로196번길 12-3, 3층 (초량동)","48821","부산광역시 장애인일자리통합지원센터","20220209202226","I","2022-02-11 00:22:38.0","","385975.003472523","181329.805166114","법인","무료",
"9","무료직업소개소","11_50_01_P","3270000","2022327013914500002","20220216","","01","영업/정상","20","영업중","","","","","","","","","부산광역시 동구 중앙대로196번길 12-3, (초량동, 부산장애인종합회관 부산광역시 장애인일자리지원센터) 3층 (초량동)","48821","부산광역시 장애인일자리지원센터","20220216110350","I","2022-02-18 00:22:37.0","","385975.003472523","181329.805166114","법인","무료",
"10","무료직업소개소","11_50_01_P","3270000","2014327008814500006","20030814","","01","영업/정상","20","영업중","","","","","051  8070091","","","초량동 1203번지 2호","부산광역시 동구 중앙대로196번길 12-3, 7층 (초량동, 부산장애인종합회관)","601839","산장협취업알선무료직업소개소","20211112180711","U","2021-11-14 02:40:00.0","","385975.003472523","181329.805166114","법인","무료",
