"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","법인구분명","구분명",
"1","유료직업소개소","11_50_02_P","3250000","2004325003711500001","20040127","","01","영업/정상","10","","","","","","","","","부산광역시 중구 대창동2가 35번지 3호 7통 1반","부산광역시 중구 중앙대로 135-1 (대창동2가)","","뚱이직업소개소","20040127163345","I","2018-08-31 23:59:59.0","","385641.076742863","180862.706263431","개인","유료",
"2","유료직업소개소","11_50_02_P","3250000","2004325003711500004","20040319","","01","영업/정상","10","","","","","","","","","부산광역시 남구 대연동 1467번지 7호 청명그린빌라 나 101","부산광역시 남구 못골번영로46번길 9, 나동 101호 (대연동,청명그린빌라)","","대성직업소개소","20040319150019","I","2018-08-31 23:59:59.0","","390366.078043678","184234.093906481","개인","유료",
"3","유료직업소개소","11_50_02_P","3250000","2019325013314500002","20190614","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 남포동6가 26번지 2호","부산광역시 중구 자갈치로 20-2, 3층 303호 (남포동6가)","48982","상상직업소개소","20220628174651","U","2022-06-30 02:40:00.0","","384730.885257385","179350.883854431","개인","유료",
"4","유료직업소개소","11_50_02_P","3250000","2019325013314500001","20190402","","01","영업/정상","20","영업중","","","","","0512424288","","","부산광역시 중구 남포동6가 70번지 2호","부산광역시 중구 구덕로84번길 4, 3층 (남포동6가)","48981","팡팡직업소개소","20220413133643","U","2022-04-15 02:40:00.0","","384734.078123584","179504.758065038","개인","유료",
"5","유료직업소개소","11_50_02_P","3250000","2019325013314500004","20190814","","01","영업/정상","20","영업중","","","","","0517810416","","","부산광역시 중구 대청동2가 17-3","부산광역시 중구 대청로 95-1, 3층 (대청동2가)","48933","청호(靑虎) 인력개발","20220124151615","U","2022-01-26 02:40:00.0","","385062.580911083","180103.889017132","개인","유료",
"6","유료직업소개소","11_50_02_P","3250000","2019325013314500003","20190802","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 중앙동3가 10번지 1호","부산광역시 중구 해관로 49-1, 4층 (중앙동3가)","48931","한가족돌봄","20211029131421","U","2021-11-02 02:40:00.0","","385519.159152528","180152.573292329","개인","유료",
"7","유료직업소개소","11_50_02_P","3250000","2007325005514500006","20071220","","01","영업/정상","20","영업중","","","","","0512570222","","","부산광역시 중구 남포동1가 47번지 1호","부산광역시 중구 태종로 4-1 (남포동1가)","600041","대우취업정보사","20200630134234","U","2020-07-02 02:40:00.0","","385533.700037082","179497.781455239","개인","유료",
"8","유료직업소개소","11_50_02_P","3250000","2012325008314500003","20120808","","01","영업/정상","20","영업중","","","","","0514425902","","","부산광역시 중구 중앙동4가 77번지 3호","부산광역시 중구 중앙대로 144 (중앙동4가)","600816","국제인력개발","20210329115713","U","2021-03-31 02:40:00.0","","385728.973863337","180906.798032307","개인","유료",
"9","유료직업소개소","11_50_02_P","3250000","2013325008314500003","20130729","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 중앙동4가 55번지 6호","부산광역시 중구 중앙대로93번길 3 (중앙동4가)","600815","에스티에스시스템","20201210163309","U","2020-12-12 02:40:00.0","","385534.479524057","180422.917954098","개인","유료",
"10","유료직업소개소","11_50_02_P","3250000","2020325014514500002","20200205","","01","영업/정상","20","영업중","","","","","","","","부산광역시 중구 중앙동2가 5번지","부산광역시 중구 중앙대로 45-10, 203호 (중앙동2가)","48957","우남직업소개소","20220125102213","U","2022-01-27 02:40:00.0","","385582.61126735","179963.039704965","개인","유료",
