BASE_YEAR,BASE_MONTH,GU_DC,MV_TOT_CNT,MV_MAN_CNT,MV_WMAN_CNT
2016,1,강서구,10227.46,6510.34,3717.12
2016,1,금정구,6388.57,3177.57,3210.99
2016,1,기장군,12764.48,6489.08,6275.39
2016,1,남구,6925.18,3442.59,3482.59
2016,1,동구,5554.19,2814.49,2739.7
2016,1,동래구,9861.93,4698.4,5163.53
2016,1,부산진구,8955.03,4310.47,4644.56
2016,1,북구,8986.51,4168.24,4818.27
2016,1,사상구,10745.9,5831.58,4914.32
2016,1,사하구,9118.81,4571.35,4547.45
2016,1,서구,5711.24,2874.3,2836.94
2016,1,수영구,9087.85,4274.52,4813.33
2016,1,연제구,9052.48,4426.21,4626.27
2016,1,영도구,5514.65,2847.67,2666.97
2016,1,중구,10309.6,5226.39,5083.21
2016,1,해운대구,11246.13,5160.93,6085.2
2016,2,강서구,4077.15,2513.68,1563.47
2016,2,금정구,13434.31,6583.08,6851.24
2016,2,기장군,3543.55,1823.97,1719.58
2016,2,남구,13664.2,6716.15,6948.05
2016,2,동구,18262.74,9182.85,9079.89
2016,2,동래구,19075.52,9087.54,9987.99
2016,2,부산진구,21620.03,10413.5,11206.53
2016,2,북구,17466.4,8080.68,9385.72
2016,2,사상구,13640.52,7245.58,6394.94
2016,2,사하구,13714.2,6801.42,6912.78
2016,2,서구,17166.3,8613.91,8552.39
2016,2,수영구,20713.15,9737.35,10975.8
2016,2,연제구,21030.34,10305.4,10724.93
2016,2,영도구,15251.08,7882.07,7369
2016,2,중구,44882.74,22644.32,22238.42
2016,2,해운대구,15185.9,7004.84,8181.07
2016,3,강서구,4114.25,2577.04,1537.21
2016,3,금정구,13235.12,6411.96,6823.16
2016,3,기장군,3374.15,1735.67,1638.48
2016,3,남구,13442.82,6636.38,6806.45
2016,3,동구,18101.22,9083.26,9017.97
2016,3,동래구,18200.41,8527.14,9673.28
2016,3,부산진구,22137.57,10589.55,11548.02
2016,3,북구,17240.26,7920.83,9319.43
2016,3,사상구,13840.74,7346.67,6494.07
2016,3,사하구,13888.09,6857.22,7030.87
2016,3,서구,17327.01,8572.99,8754.02
2016,3,수영구,18809.64,8686.05,10123.59
2016,3,연제구,21298.59,10303.01,10995.58
2016,3,영도구,14524.91,7382.94,7141.97
