상권_변화_지표_명,상권_코드_명,집객_시설_수,관공서_수,학교_시설_수,병원_시설_수_1,교통_시설_수,지하철_수,병원_시설_수_2,쇼핑_시설_수
골목상권,황령대로489번길,6,0,0,4,2,0,0,0
골목상권,황령대로319번가길,21,1,0,5,15,0,0,0
골목상권,해운대로81번길,3,1,1,1,0,0,0,0
골목상권,해운대로76번길,10,1,0,5,4,0,0,0
골목상권,해운대로483번길,2,0,0,2,0,0,0,0
골목상권,해운대로161번길,20,2,0,7,8,0,3,0
골목상권,황령대로492번길,6,1,1,4,0,0,0,0
골목상권,해운대로143번길,10,0,0,0,0,0,10,0
골목상권,학감대로123번길,2,0,0,2,0,0,0,0
골목상권,해운대해변로265번길,5,0,0,0,0,0,5,0
골목상권,충장대로9번길,2,0,0,1,0,0,1,0
골목상권,충무시장길,7,0,0,3,0,0,4,0
골목상권,해운대로570번길,2,0,0,0,0,0,2,0
골목상권,충렬대로459번길,7,0,0,2,4,0,0,1
골목상권,충장대로5번길,3,1,0,1,0,0,1,0
골목상권,충렬대로428번길,4,0,0,4,0,0,0,0
골목상권,충렬대로237번길,39,0,0,25,10,0,4,0
골목상권,충렬대로181번길,6,0,0,1,5,0,0,0
골목상권,충렬대로108번길,3,0,0,2,0,0,0,1
골목상권,충렬대로410번길,2,0,0,0,1,0,0,1
골목상권,충렬대로107번길,37,3,0,10,23,0,0,1
골목상권,초량로13번길,12,0,0,1,0,0,10,1
골목상권,충렬대로359번길,6,0,0,3,0,0,2,1
골목상권,진성로9번길,2,0,0,0,0,0,2,0
골목상권,중앙대로680번가길,6,0,0,1,0,0,5,0
골목상권,중앙대로371번길,6,0,0,6,0,0,0,0
골목상권,중앙대로286번길,2,0,0,1,0,0,1,0
골목상권,중앙대로214번길,5,0,0,0,0,0,5,0
골목상권,중앙대로196번길,13,0,0,1,0,0,12,0
골목상권,중앙대로1945번길,8,0,0,7,0,0,1,0
골목상권,중앙대로180번길,4,0,0,0,0,0,4,0
골목상권,중앙대로1381번길,3,0,0,3,0,0,0,0
골목상권,중앙대로1367번길,4,0,0,2,2,0,0,0
골목상권,중앙대로1038번길,2,1,0,1,0,0,0,0
골목상권,중구로33번길,4,0,0,3,0,0,1,0
골목상권,좌동순환로433번길,21,2,0,2,17,0,0,0
골목상권,좌동로91번길,1,0,0,1,0,0,0,0
골목상권,중앙대로1841번길,25,0,0,22,2,0,0,1
골목상권,제석로18번길,2,0,0,2,0,0,0,0
골목상권,절영로35번길,1,0,0,0,0,0,1,0
골목상권,절영로13번길,2,0,0,2,0,0,0,0
골목상권,전포대로275번길,5,0,0,5,0,0,0,0
골목상권,재반로64번길,2,1,1,0,0,0,0,0
골목상권,재반로125번길,1,1,0,0,0,0,0,0
골목상권,장림시장5길,2,0,0,2,0,0,0,0
골목상권,장림번영로104번길,1,0,0,0,1,0,0,0
골목상권,윤공단로14번길,1,0,0,1,0,0,0,0
골목상권,유엔평화로4번길,12,0,0,2,0,0,10,0
골목상권,월드컵대로145번길,1,0,0,0,0,0,1,0
골목상권,장평로41번길,4,0,0,0,4,0,0,0
골목상권,월드컵대로111번길,5,0,0,0,0,0,4,1
골목상권,우암로2번길,3,0,0,0,3,0,0,0
골목상권,유통단지1로57번길,4,0,0,0,3,0,0,1
골목상권,우동1로20번가길,2,0,0,0,2,0,0,0
골목상권,우암로154번길,3,0,0,0,3,0,0,0
골목상권,용호로42번길,4,2,0,2,0,0,0,0
골목상권,용호로232번길,1,0,0,1,0,0,0,0
골목상권,온천장로119번길,5,0,0,4,0,0,0,1
골목상권,온천장로107번길,4,0,0,1,0,0,3,0
골목상권,여고로113번길,7,1,0,5,1,0,0,0
골목상권,양지로5번길,2,0,0,0,0,0,2,0
골목상권,양운로37번길,16,1,0,1,14,0,0,0
골목상권,안연로8번길,1,1,0,0,0,0,0,0
골목상권,신호산단2로49번길,1,0,0,1,0,0,0,0
골목상권,신천대로65번길,1,0,0,0,0,0,1,0
골목상권,수영로741번길,5,0,0,4,1,0,0,0
골목상권,승학로3번길,1,0,0,0,1,0,0,0
골목상권,수영로725번길,5,1,0,2,1,0,1,0
골목상권,용호로198번길,2,0,0,2,0,0,0,0
골목상권,수영로705번길,5,0,0,4,1,0,0,0
골목상권,수영로606번길,1,0,0,1,0,0,0,0
골목상권,수영로594번길,1,0,0,0,0,0,1,0
골목상권,수영로325번길,5,1,1,2,1,0,0,0
골목상권,수영로266번길,2,0,0,2,0,0,0,0
골목상권,수영로250번길,2,0,0,1,0,0,1,0
골목상권,아시아드대로195번길,1,0,0,0,1,0,0,0
골목상권,수영로219번길,6,0,0,4,0,0,2,0
골목상권,신천대로62번길,3,0,0,0,0,0,3,0
골목상권,수영로196번길,15,1,1,2,10,0,1,0
골목상권,선수촌로21번길,7,1,0,0,5,0,0,1
골목상권,서포로30번길,3,0,0,2,1,0,0,0
골목상권,서전로58번길,4,0,0,2,2,0,0,0
골목상권,서전로37번길,1,0,0,0,0,0,1,0
골목상권,서전로10번길,2,0,0,0,0,0,2,0
골목상권,수영로408번길,2,0,0,2,0,0,0,0
골목상권,새싹로8번길,7,0,0,2,0,0,5,0
골목상권,새싹로14번길,2,0,0,0,0,0,2,0
골목상권,사직로70번길,7,0,0,6,0,0,0,1
골목상권,사상로342번길,5,0,0,0,5,0,0,0
골목상권,사상로277번길,2,0,0,0,1,0,1,0
골목상권,사상로212번길,13,0,0,0,8,0,5,0
골목상권,사상로224번길,4,0,0,0,0,0,4,0
골목상권,사상로202번길,3,0,0,0,0,0,3,0
골목상권,서전로68번길,3,1,0,0,2,0,0,0
골목상권,부평2길,1,0,0,0,0,0,1,0
골목상권,새벽로202번길,11,0,0,0,6,0,5,0
골목상권,부산대학로63번길,19,2,0,1,15,0,0,1
골목상권,삼덕로46번길,9,0,0,3,0,0,6,0
골목상권,복천로5번길,1,0,0,0,1,0,0,0
골목상권,복지로13번길,1,0,0,1,0,0,0,0
골목상권,범일로89번길,2,0,0,0,0,0,2,0
골목상권,신천대로50번길,2,0,0,1,0,0,1,0
골목상권,범일로131번길,3,0,0,0,0,0,3,0
골목상권,시민공원로19번길,4,0,0,3,1,0,0,0
골목상권,백양대로934번길,2,0,0,0,2,0,0,0
골목상권,백양대로494번길,7,0,0,4,3,0,0,0
골목상권,백양관문로77번길,22,1,1,4,16,0,0,0
골목상권,무학로9번길,10,0,0,1,0,0,9,0
골목상권,부전로152번길,5,0,0,3,0,0,2,0
골목상권,못골로41번길,11,0,0,1,10,0,0,0
골목상권,모라로110번길,17,1,1,6,9,0,0,0
골목상권,산성로12번길,4,1,1,0,2,0,0,0
골목상권,명장로20번길,21,0,0,4,16,0,1,0
골목상권,범일로102번길,12,0,0,2,6,0,4,0
골목상권,명안로86번길,1,0,0,1,0,0,0,0
골목상권,백양산로53번길,27,1,0,8,18,0,0,0
골목상권,명륜로98번길,2,0,0,2,0,0,0,0
골목상권,명륜로94번길,8,0,0,4,2,0,2,0
골목상권,명륜로139번길,3,0,0,0,3,0,0,0
골목상권,못골로12번길,9,0,0,5,0,0,4,0
골목상권,명륜로129번길,5,0,0,1,4,0,0,0
골목상권,사직북로57번길,1,0,0,1,0,0,0,0
골목상권,명륜로112번길,3,0,0,3,0,0,0,0
골목상권,망미번영로38번길,4,1,0,1,2,0,0,0
골목상권,망미로22번길,5,0,0,1,4,0,0,0
골목상권,만덕3로16번길,3,0,0,0,3,0,0,0
골목상권,만덕2로44번길,5,1,0,1,3,0,0,0
골목상권,동평로405번길,1,0,0,1,0,0,0,0
골목상권,동평로291번길,3,0,0,0,3,0,0,0
골목상권,동평로150번길,4,0,0,0,4,0,0,0
골목상권,동명로146번길,1,0,0,1,0,0,0,0
골목상권,사직북로28번길,8,1,1,3,3,0,0,0
골목상권,사직북로13번길,1,0,0,0,0,0,1,0
골목상권,동명로145번길,1,1,0,0,0,0,0,0
골목상권,덕천2길,5,2,1,1,1,0,0,0
골목상권,사상로309번길,3,0,0,0,0,0,3,0
골목상권,덕천1길,3,0,0,1,0,0,2,0
골목상권,대천로67번길,28,2,2,1,23,0,0,0
골목상권,대천로103번길,43,1,1,3,35,0,0,3
골목상권,대영로73번길,3,1,0,1,1,0,0,0
골목상권,대영로45번길,2,0,0,2,0,0,0,0
골목상권,당감로17번길,1,0,0,1,0,0,0,0
골목상권,달맞이길65번길,3,0,0,2,0,0,0,1
골목상권,다대로277번길,9,1,0,6,1,0,0,1
골목상권,다대로142번길,1,0,0,1,0,0,0,0
골목상권,다대로130번길,16,0,0,15,0,0,1,0
골목상권,동명로132번길,2,0,0,0,0,0,2,0
골목상권,동래시장길,1,0,0,0,0,0,0,1
골목상권,다대낙조2길,72,5,2,6,57,0,0,2
골목상권,다대낙조1길,9,1,0,4,4,0,0,0
골목상권,남항로9번길,4,1,0,2,1,0,0,0
골목상권,동광길,12,3,1,3,0,0,5,0
골목상권,덕천로276번길,6,0,0,4,2,0,0,0
골목상권,남항로31번길,1,0,0,0,0,0,1,0
골목상권,남포길,2,0,0,0,0,0,2,0
골목상권,남천동로9번길,1,0,0,0,1,0,0,0
골목상권,낙동대로535번길,7,0,0,6,0,0,0,1
골목상권,낙동대로1780번길,2,0,0,0,0,0,1,1
골목상권,낙동대로1210번길,9,0,0,1,5,0,3,0
골목상권,낙동남로1423번길,9,1,0,1,0,0,7,0
골목상권,금정로60번길,1,0,0,1,0,0,0,0
골목상권,금곡대로8번길,12,0,0,1,2,0,7,2
골목상권,금곡대로616번길,14,0,0,3,11,0,0,0
골목상권,금강로565번길,8,0,0,7,1,0,0,0
골목상권,금강공원로20번길,2,0,0,1,0,0,1,0
골목상권,달맞이길62번길,7,1,0,0,1,0,5,0
골목상권,달맞이길117번길,5,0,0,0,5,0,0,0
골목상권,구포시장길,1,0,0,0,0,0,1,0
골목상권,구포만세길,22,1,0,0,8,0,13,0
