skey|gugun|rate_year|dong_cnt|house_cnt|tot_pop_cnt|m_pop_cnt|f_pop_cnt|pop_ratio|pop_density|instt_code|last_load_dttm
19597|부산광역시 강서구|2020-06|8|55158|137005|72436|64569|4|755|6260000|2022-07-01 05:57:03
19598|부산광역시 연제구|2020-06|12|91412|210515|101437|109078|6.1|17398|6260000|2022-07-01 05:57:03
19599|부산광역시 수영구|2020-06|10|82989|178702|84448|94254|5.2|17503|6260000|2022-07-01 05:57:03
19600|부산광역시 사상구|2020-06|12|97113|220468|111722|108746|6.4|6109|6260000|2022-07-01 05:57:03
19601|부산광역시 기장군|2020-06|5|72166|172280|85639|86641|5|789|6260000|2022-07-01 05:57:03
19602|부산광역시|2020-07|205|1517200|3450783|1693918|1756865|100|4484|6260000|2022-07-01 05:57:03
19603|부산광역시 중구|2020-07|9|23544|43721|21688|22033|1.2|15449|6260000|2022-07-01 05:57:03
19604|부산광역시 서구|2020-07|13|53340|109870|53519|56351|3.1|7859|6260000|2022-07-01 05:57:03
19605|부산광역시 동구|2020-07|12|45954|91979|45092|46887|2.6|9319|6260000|2022-07-01 05:57:03
19606|부산광역시 영도구|2020-07|11|54914|116752|57748|59004|3.3|8222|6260000|2022-07-01 05:57:03
19607|부산광역시 부산진구|2020-07|20|169952|360582|174125|186457|10.4|12153|6260000|2022-07-01 05:57:03
19608|부산광역시 동래구|2020-07|13|114414|273793|133256|140537|7.9|16464|6260000|2022-07-01 05:57:03
19609|부산광역시 남구|2020-07|17|117537|275565|134988|140577|7.9|10275|6260000|2022-07-01 05:57:03
19610|부산광역시 북구|2020-07|13|120706|290157|143561|146596|8.4|7370|6260000|2022-07-01 05:57:03
19611|부산광역시 해운대구|2020-07|18|170255|408611|196894|211717|11.8|7939|6260000|2022-07-01 05:57:03
19612|부산광역시 사하구|2020-07|16|139163|321352|160716|160636|9.3|7693|6260000|2022-07-01 05:57:03
19613|부산광역시 금정구|2020-07|16|107273|238974|116481|122493|6.9|3661|6260000|2022-07-01 05:57:03
19614|부산광역시 강서구|2020-07|8|55314|137122|72447|64675|3.9|756|6260000|2022-07-01 05:57:03
19615|부산광역시 연제구|2020-07|12|91608|210336|101353|108983|6|17383|6260000|2022-07-01 05:57:03
19616|부산광역시 수영구|2020-07|10|83207|178463|84334|94129|5.1|17479|6260000|2022-07-01 05:57:03
19617|부산광역시 사상구|2020-07|12|97215|220011|111480|108531|6.3|6096|6260000|2022-07-01 05:57:03
19618|부산광역시 기장군|2020-07|5|72804|173495|86236|87259|5|795|6260000|2022-07-01 05:57:03
19619|부산광역시|2020-08|205|1520321|3448570|1692507|1756063|100|4478|6260000|2022-07-01 05:57:03
19620|부산광역시 중구|2020-08|9|23626|43691|21663|22028|1.3|15439|6260000|2022-07-01 05:57:03
19621|부산광역시 서구|2020-08|13|53342|109691|53411|56280|3.2|7846|6260000|2022-07-01 05:57:03
19622|부산광역시 동구|2020-08|12|45994|91907|45015|46892|2.7|9312|6260000|2022-07-01 05:57:03
